event_time,trades_per_sec
1771125005.625,37
1771125006.716,219
1771125007.716,85
1771125008.95,24
1771125010.348,155
1771125012.265,18
1771125013.415,4
1771125014.464,5
1771125015.8,55
1771125016.805,4
1771125017.811,4
1771125018.894,3
1771125020.109,1
1771125021.408,3
1771125023.08,4
1771125024.308,3
1771125025.435,7
1771125026.558,229
1771125027.739,5
1771125028.763,4
1771125029.794,5
1771125030.841,7
1771125031.893,7
1771125032.923,144
1771125034.065,2
1771125035.68,48
1771125037.264,3
1771125038.674,3
1771125040.142,8
1771125041.543,6
1771125042.788,2
1771125043.816,2
1771125044.828,3
1771125046.534,12
1771125048.205,47
1771125049.433,2
1771125051.251,4
1771125052.293,2
1771125053.325,244
1771125054.374,13
1771125056.044,5
1771125057.133,20
1771125058.298,2
1771125059.776,138
1771125060.95,78
1771125062.026,80
1771125063.149,93
1771125064.164,2
1771125065.164,1
1771125067.254,7
1771125068.844,7
1771125070.569,8
1771125071.786,3
1771125073.242,4
1771125074.264,80
1771125075.706,46
1771125076.74,186
1771125078.369,1
1771125079.858,35
1771125081.055,5
1771125082.176,2
1771125083.345,3
1771125084.386,4
1771125085.817,1
1771125087.334,356
1771125088.45,185
1771125089.861,75
1771125091.208,5
1771125092.265,3
1771125093.335,9
1771125094.834,168
1771125096.391,84
1771125097.589,3
1771125098.768,5
1771125099.857,3
1771125100.903,4
1771125102.014,2
1771125103.241,3
1771125104.894,1
1771125106.183,4
1771125107.215,142
1771125109.241,90
1771125110.53,10
1771125111.543,4
1771125113.061,2
1771125114.211,5
1771125115.783,5
1771125116.98,3
1771125118.243,3
1771125119.423,2
1771125120.465,246
1771125121.614,83
1771125123.05,4
1771125124.136,138
1771125125.34,3
1771125126.682,65
1771125127.835,2
1771125128.845,3
1771125130.175,36
1771125131.389,167
1771125132.398,25
1771125133.819,1
1771125134.835,3
1771125136.134,1
1771125137.304,6
1771125138.401,8
1771125139.559,6
1771125140.762,3
1771125141.817,11
1771125142.841,47
1771125144.782,4
1771125146.112,3
1771125147.195,4
1771125148.492,5
1771125149.877,2
1771125151.007,5
1771125152.146,28
1771125153.149,11
1771125155.329,3
1771125156.562,6
1771125157.866,1
1771125158.891,169
1771125160.587,2
1771125162.607,4
1771125163.96,3
1771125165.806,8
1771125167.858,4
1771125168.904,3
1771125170.204,5
1771125171.246,8
1771125172.36,4
1771125173.52,7
1771125174.584,7
1771125175.716,3
1771125176.818,6
1771125178.416,6
1771125179.423,131
1771125180.839,170
1771125181.977,315
1771125183.043,4
1771125184.122,5
1771125185.397,21
1771125186.531,7
1771125187.598,106
1771125189.305,5
1771125190.678,7
1771125191.916,6
1771125193.158,7
1771125194.163,10
1771125195.226,3
1771125197.156,14
1771125198.298,2
1771125199.42,5
1771125200.473,29
1771125202.465,3
1771125203.865,4
1771125205.417,4
1771125206.497,4
1771125207.661,22
1771125209.216,3
1771125210.23,6
1771125211.406,2
1771125213.041,4
1771125214.249,3
1771125215.993,2
1771125217.534,159
1771125218.896,85
1771125220.172,1
1771125221.381,3
1771125222.734,3
1771125223.903,5
1771125225.011,223
1771125226.474,351
1771125227.486,1
1771125229.25,25
1771125230.515,64
1771125232.905,3
1771125234.079,3
1771125235.172,14
1771125236.187,8
1771125237.316,1
1771125239.086,8
1771125240.294,4
1771125241.541,15
1771125244.184,82
1771125245.249,46
1771125246.911,50
1771125249.211,50
1771125250.753,335
1771125251.766,5
1771125253.073,10
1771125254.095,2
1771125255.177,7
1771125256.206,9
1771125257.66,9
1771125258.747,5
1771125259.878,7
1771125260.942,4
1771125263.352,8
1771125264.353,9
1771125265.373,3
1771125266.96,1
1771125268.509,5
1771125269.696,2
1771125271.934,1
1771125273.038,6
1771125274.197,2
1771125275.212,2
1771125276.769,11
1771125277.957,3
1771125280.96,2
1771125282.658,13
1771125284.415,8
1771125285.756,83
1771125286.967,3
1771125287.981,4
1771125289.166,3
1771125290.205,1
1771125291.925,3
1771125293.878,2
1771125294.93,2
1771125296.222,4
1771125297.265,27
1771125299.095,924
1771125300.115,106
1771125301.231,388
1771125302.267,136
1771125303.992,5
1771125305.149,5
1771125306.231,46
1771125307.517,28
1771125308.836,143
1771125309.841,4
1771125310.861,2
1771125312.045,7
1771125313.415,4
1771125314.716,4
1771125315.801,19
1771125317.023,6
1771125318.259,11
1771125319.334,109
1771125321.279,114
1771125322.475,7
1771125323.48,49
1771125324.539,4
1771125325.592,2
1771125327.88,299
1771125328.96,80
1771125330.112,6
1771125331.473,1
1771125332.763,6
1771125334.401,3
1771125335.437,3
1771125336.49,4
1771125337.53,5
1771125339.235,3
1771125341.491,4
1771125343.603,4
1771125345.426,5
1771125346.567,2
1771125348.661,2
1771125349.956,5
1771125351.946,6
1771125353.361,123
1771125354.38,2
1771125355.958,23
1771125357.342,1
1771125360.239,4
1771125361.559,200
1771125362.67,9
1771125364.202,2
1771125365.465,24
1771125366.52,110
1771125367.985,144
1771125369.264,3
1771125370.871,2
1771125371.923,8
1771125373.517,213
1771125374.842,25
1771125375.861,87
1771125377.206,6
1771125378.234,7
1771125379.354,9
1771125380.704,3
1771125382.463,4
1771125383.549,16
1771125384.664,352
1771125385.884,18
1771125387.084,4
1771125388.562,23
1771125391.043,173
1771125392.216,4
1771125393.64,14
1771125394.912,1
1771125396.258,4
1771125397.949,3
1771125400.029,1
1771125401.316,5
1771125403.211,41
1771125405.68,2
1771125406.778,3
1771125407.826,12
1771125408.953,8
1771125410.204,4
1771125411.547,58
1771125413.01,3
1771125415.062,8
